state,total,place,race,religion,sexual_orientation,ethnicity,disability,gender,gender_identity
,Cities,,18,4,9,4,0,0,0
,,Appleton,1,0,2,0,0,0,0
,,Fond du Lac,1,0,0,0,0,0,0
,,Janesville,2,0,0,0,0,0,0
,,La Crosse,3,0,0,0,0,0,0
,,Madison,3,1,4,2,0,0,0
,,Milwaukee,5,2,2,2,0,0,0
,,Oak Creek,1,0,0,0,0,0,0
,,River Falls,0,0,1,0,0,0,0
,,Stevens Point,1,0,0,0,0,0,0
,,Waupun,1,1,0,0,0,0,0
,Universities and Colleges,,4,0,0,0,0,0,0
,,University of Wisconsin:,,,,,,,
,,Eau Claire,2,0,0,0,0,0,0
,,Milwaukee,1,0,0,0,0,0,0
,,Stout,1,0,0,0,0,0,0
,Metropolitan Counties,,3,0,0,1,1,0,0
,,Columbia,0,0,0,0,1,0,0
,,Fond du Lac,2,0,0,0,0,0,0
,,Iowa,0,0,0,1,0,0,0
,,Washington,1,0,0,0,0,0,0
,Nonmetropolitan Counties,,3,2,0,0,2,0,0
,,Burnett,1,1,0,0,0,0,0
,,Juneau,0,0,0,0,1,0,0
,,Sauk,0,0,0,0,1,0,0
,,Sawyer,2,0,0,0,0,0,0
,,Vilas,0,1,0,0,0,0,0
Wyoming,Total,,0,0,0,0,0,0,0
