state,total,place,race,religion,sexual_orientation,ethnicity,disability,,,,,
,,Radford,1,0,1,0,0,,,,,
,,Richmond,1,0,4,0,0,,,,,
,,Roanoke,2,0,3,0,0,,,,,
,,Virginia Beach,2,0,0,0,0,,,,,
,,Waynesboro,1,0,0,1,0,,,,,
,Universities and Colleges,,3,1,4,0,0,,,,,
,,George Mason University,0,0,1,0,0,,,,,
,,Old Dominion University,2,1,1,0,0,,,,,
,,Radford University,0,0,1,0,0,,,,,
,,University of Virginia,0,0,1,0,0,,,,,
,,Virginia Polytechnic Institute and State University,1,0,0,0,0,,,,,
,Metropolitan Counties,,41,18,9,2,0,,,,,
,,Albemarle County Police Department,7,3,1,0,0,,,,,
,,Amherst,2,0,0,0,0,,,,,
,,Arlington County Police Department,0,0,0,1,0,,,,,
,,Augusta,0,0,1,0,0,,,,,
,,Campbell,0,1,0,0,0,,,,,
,,Chesterfield County Police Department,6,2,0,1,0,,,,,
,,Fairfax County Police Department,6,7,4,0,0,,,,,
,,Gloucester,1,1,0,0,0,,,,,
,,Henrico County Police Department,3,0,1,0,0,,,,,
,,James City County Police Department,0,0,2,0,0,,,,,
,,Loudoun,1,2,0,0,0,,,,,
,,New Kent,1,0,0,0,0,,,,,
,,Prince George County Police Department,0,1,0,0,0,,,,,
,,Roanoke County Police Department,2,0,0,0,0,,,,,
,,Spotsylvania,3,1,0,0,0,,,,,
,,Stafford,7,0,0,0,0,,,,,
,,York,2,0,0,0,0,,,,,
,Nonmetropolitan Counties,,3,1,0,1,0,,,,,
,,Accomack,0,0,0,1,0,,,,,
,,Essex,1,0,0,0,0,,,,,
,,Prince Edward,2,0,0,0,0,,,,,
,,Richmond,0,1,0,0,0,,,,,
Washington,Total,,141,50,52,28,1,,,,,
,Cities,,118,33,41,21,0,,,,,
,,Aberdeen,2,0,0,0,0,,,,,
,,Anacortes,0,1,0,0,0,,,,,
,,Bellevue,1,1,1,0,0,,,,,
,,Bellingham,3,2,2,2,0,,,,,
,,Black Diamond,1,0,0,0,0,,,,,
,,Bothell,0,1,1,0,0,,,,,
,,Burien,3,0,1,0,0,,,,,
,,Cheney,1,0,1,0,0,,,,,
,,Edmonds,0,0,1,0,0,,,,,
,,Ellensburg,1,0,0,0,0,,,,,
,,Everett,0,1,1,0,0,,,,,
,,Federal Way,5,0,0,0,0,,,,,
,,Ferndale,1,0,0,0,0,,,,,
,,Fircrest,1,0,0,0,0,,,,,
,,Kennewick,0,0,1,0,0,,,,,
,,Kent,1,1,0,1,0,,,,,
,,Kirkland,4,2,1,0,0,,,,,
,,Lake Forest Park,1,0,0,0,0,,,,,
,,Lakewood,1,0,0,1,0,,,,,
,,Longview,5,0,1,0,0,,,,,
,,Lynden,0,1,0,0,0,,,,,
,,Lynnwood,0,1,0,0,0,,,,,
,,Mercer Island,1,0,0,1,0,,,,,
,,Mill Creek,1,0,0,0,0,,,,,
,,Monroe,0,1,0,0,0,,,,,
,,Mount Vernon,0,0,0,1,0,,,,,
,,Newcastle,0,0,0,1,0,,,,,
,,Oak Harbor,1,0,1,0,0,,,,,
,,Omak,2,0,0,0,0,,,,,
,,Orting,1,0,0,0,0,,,,,
,,Port Angeles,2,0,0,0,0,,,,,
,,Port Townsend,0,1,0,0,0,,,,,
,,Poulsbo,0,0,1,0,0,,,,,
,,Pullman,1,0,0,1,0,,,,,
,,Puyallup,0,0,1,0,0,,,,,
,,Redmond,1,0,0,0,0,,,,,
,,Renton,5,1,0,3,0,,,,,
,,Seattle,47,13,19,6,0,,,,,
,,Sequim,0,1,0,0,0,,,,,
,,Shoreline,1,0,0,1,0,,,,,
,,Spokane,3,0,3,0,0,,,,,
,,Spokane Valley,2,1,1,0,0,,,,,
,,Sumner,1,0,0,0,0,,,,,
,,Sunnyside,0,0,1,0,0,,,,,
,,Tacoma,9,1,2,1,0,,,,,
,,University Place,2,0,0,0,0,,,,,
,,Vancouver,7,2,0,2,0,,,,,
,,Wapato,0,1,0,0,0,,,,,
,,Yakima,0,0,1,0,0,,,,,
,Universities and Colleges,,6,10,3,0,0,,,,,
,,University of Washington,6,8,2,0,0,,,,,
,,"Washington State University, Pullman",0,2,1,0,0,,,,,
,Metropolitan Counties,,15,4,6,5,1,,,,,
,,Benton,0,0,0,0,1,,,,,
,,Chelan,1,1,0,1,0,,,,,
,,Clark,3,0,0,0,0,,,,,
,,Cowlitz,0,0,1,0,0,,,,,
,,Douglas,1,0,0,0,0,,,,,
,,King,3,1,1,1,0,,,,,
,,Kitsap,0,1,0,0,0,,,,,
,,Pend Oreille,1,0,0,0,0,,,,,
,,Pierce,3,0,1,0,0,,,,,
,,Snohomish,1,0,0,0,0,,,,,
,,Stevens,0,0,1,0,0,,,,,
,,Thurston,1,0,2,0,0,,,,,
,,Walla Walla,1,0,0,0,0,,,,,
,,Yakima,0,1,0,3,0,,,,,
,Nonmetropolitan Counties,,2,3,1,2,0,,,,,
,,Clallam,2,0,0,0,0,,,,,
,,Mason,0,3,1,0,0,,,,,
,,Pacific,0,0,0,2,0,,,,,
,Other Agencies,,0,0,1,0,0,,,,,
,,Port of Seattle,0,0,1,0,0,,,,,
West Virginia,Total,,20,1,5,0,1,,,,,
,Cities,,10,1,3,0,1,,,,,
,,Beckley,2,0,1,0,1,,,,,
,,Clarksburg,3,0,0,0,0,,,,,
,,Elkins,1,0,0,0,0,,,,,
,,Fairmont,1,0,0,0,0,,,,,
,,Huntington,1,0,2,0,0,,,,,
,,Martinsburg,1,0,0,0,0,,,,,
,,Morgantown,0,1,0,0,0,,,,,
,,Weirton,1,0,0,0,0,,,,,
,Universities and Colleges,,2,0,0,0,0,,,,,
,,West Liberty University,1,0,0,0,0,,,,,
,,West Virginia Tech,1,0,0,0,0,,,,,
,Metropolitan Counties,,6,0,2,0,0,,,,,
,,Brooke,1,0,0,0,0,,,,,
,,Fayette,0,0,1,0,0,,,,,
,,Hancock,2,0,0,0,0,,,,,
,,Kanawha,2,0,1,0,0,,,,,
,,Wayne,1,0,0,0,0,,,,,
,Nonmetropolitan Counties,,2,0,0,0,0,,,,,
,,Nicholas,2,0,0,0,0,,,,,
Wisconsin,Total,,32,10,13,5,8,,,,,
,Cities,,29,9,7,4,1,,,,,
,,Appleton,6,0,1,1,0,,,,,
,,Caledonia,1,0,0,0,0,,,,,
,,Fond du Lac,0,0,2,0,0,,,,,
,,La Crosse,1,1,0,0,0,,,,,
,,Madison,8,3,0,0,1,,,,,
,,Milwaukee,5,4,4,1,0,,,,,
,,Minocqua,1,0,0,0,0,,,,,
,,Oak Creek,0,1,0,0,0,,,,,
,,Rhinelander,0,0,0,1,0,,,,,
,,River Falls,1,0,0,0,0,,,,,
,,Seymour,1,0,0,0,0,,,,,
,,Sheboygan,2,0,0,1,0,,,,,
,,Waukesha,1,0,0,0,0,,,,,
,,Wausau,1,0,0,0,0,,,,,
,,West Allis,1,0,0,0,0,,,,,
,Universities and Colleges,,1,0,5,0,0,,,,,
,,"University of Wisconsin, Platteville",1,0,5,0,0,,,,,
,Metropolitan Counties,,1,0,1,0,0,,,,,
,,Dane,1,0,0,0,0,,,,,
,,Iowa,0,0,1,0,0,,,,,
,Nonmetropolitan Counties,,1,1,0,1,7,,,,,
,,Burnett,1,1,0,0,1,,,,,
,,Grant,0,0,0,1,0,,,,,
,,Juneau,0,0,0,0,5,,,,,
,,Lincoln,0,0,0,0,1,,,,,
Wyoming,Total,,1,0,0,1,0,,,,,
,Cities,,1,0,0,0,0,,,,,
,,Rawlins,1,0,0,0,0,,,,,
,Nonmetropolitan Counties,,0,0,0,1,0,,,,,
,,Sublette,0,0,0,1,0,,,,,
